no,wpp,node,dl,ml,sl,l,db,mb,sb,b
1,571,1,5,36,34,LU,95,21,55,BT
2,571,2,5,48,19,LU,95,22,33,BT
3,571,3,5,54,25,LU,95,13,2,BT
4,571,4,6,24,58,LU,94,29,24,BT
5,572,1,6,50,10,LS,105,14,26,BT
6,572,2,8,52,14,LS,102,34,13,BT
7,572,3,8,51,36,LS,102,4,28,BT
8,572,4,8,47,1,LS,101,35,5,BT
9,572,5,8,38,33,LS,101,6,34,BT
10,572,6,8,29,45,LS,100,46,4,BT
11,572,7,8,14,40,LS,100,20,28,BT
12,572,8,7,57,17,LS,99,58,51,BT
13,572,9,7,44,1,LS,99,44,40,BT
14,572,10,7,25,15,LS,99,27,53,BT
15,572,11,6,12,57,LS,98,30,42,BT
16,572,12,5,36,56,LS,97,56,7,BT
17,572,13,5,14,44,LS,97,37,32,BT
18,572,14,4,58,9,LS,97,25,35,BT
19,572,15,4,13,52,LS,96,43,30,BT
20,572,16,4,1,47,LS,96,30,49,BT
21,572,16,3,46,36,LS,96,17,10,BT
22,572,17,3,24,20,LS,96,1,31,BT
23,572,18,3,0,29,LS,95,47,4,BT
24,572,19,2,1,21,LS,95,8,2,BT
25,572,20,1,55,50,LS,95,3,50,BT
26,572,21,0,28,47,LS,94,12,31,BT
27,572,22,0,26,38,LS,94,11,14,BT
28,572,23,0,3,11,LU,93,40,57,BT
29,572,24,0,28,12,LU,93,10,53,BT
30,572,25,0,58,34,LU,92,43,2,BT
31,572,26,1,40,17,LU,92,19,13,BT
32,572,27,2,11,17,LU,92,8,52,BT
33,572,28,2,56,36,LU,92,3,7,BT
34,572,29,3,47,58,LU,92,2,31,BT
35,572,30,3,53,16,LU,92,15,35,BT
36,572,31,6,6,46,LU,94,16,1,BT
37,572,32,6,18,27,LU,94,25,34,BT
38,712,16,5,52,43,LS,106,2,26,BT
39,712,17,5,34,51,LS,105,49,44,BT
