no,wpp,node,dl,ml,sl,l,db,mb,sb,b
1,715,4,2,25,19,LU,128,41,38,BT
2,715,5,0,19,24,LU,129,51,5,BT
3,715,6,0,16,50,LU,129,55,24,BT
4,715,7,0,11,13,LU,130,0,8,BT
5,715,8,0,11,5,LU,130,2,30,BT
6,715,9,0,10,57,LU,130,2,57,BT
7,715,10,0,8,52,LU,130,7,5,BT
8,715,11,0,7,53,LU,130,9,5,BT
9,715,12,0,6,42,LU,130,12,48,BT
10,715,13,0,6,38,LU,130,13,8,BT
11,715,14,0,6,38,LU,130,14,39,BT
12,715,15,0,6,6,LU,130,16,37,BT
13,715,16,0,2,31,LU,130,52,19,BT
14,715,17,0,2,17,LU,130,53,44,BT
15,715,18,0,1,14,LS,131,2,39,BT
16,715,19,0,22,51,LS,131,14,30,BT
17,715,20,0,23,45,LS,131,15,1,BT
18,715,21,0,23,55,LS,131,15,26,BT
19,715,22,0,45,20,LS,131,26,32,BT
20,716,56,2,54,16,LU,131,0,13,BT
21,717,1,2,51,31,LU,131,2,3,BT
22,717,2,2,49,37,LU,131,4,6,BT
23,717,3,2,48,7,LU,131,6,56,BT
24,717,4,2,35,35,LU,131,40,18,BT
25,717,5,2,35,12,LU,131,41,30,BT
26,717,6,2,34,40,LU,131,45,39,BT
27,717,7,2,35,30,LU,131,50,6,BT
28,717,8,2,38,14,LU,131,55,3,BT
29,717,9,2,41,17,LU,131,57,50,BT
30,717,10,2,44,1,LU,131,59,36,BT
31,717,11,4,11,18,LU,132,29,12,BT
32,717,12,4,4,23,LU,132,44,41,BT
33,717,13,3,58,38,LU,132,55,25,BT
34,717,14,4,0,36,LU,132,59,53,BT
35,717,15,4,5,23,LU,133,12,22,BT
36,717,16,4,12,24,LU,133,38,8,BT
37,717,17,4,15,27,LU,133,58,41,BT
38,717,18,4,16,13,LU,134,25,22,BT
39,717,19,4,15,6,LU,134,40,11,BT
40,717,20,4,12,45,LU,134,56,9,BT
41,717,21,4,7,8,LU,135,19,12,BT
42,717,22,4,0,1,LU,135,38,42,BT
43,717,23,3,55,43,LU,135,48,9,BT
44,717,24,3,50,12,LU,135,58,40,BT
45,717,25,3,41,38,LU,136,12,32,BT
46,717,26,3,23,15,LU,136,35,47,BT
47,717,27,3,7,19,LU,136,51,18,BT
48,717,28,2,50,59,LU,137,4,7,BT
49,717,29,2,10,36,LU,137,32,30,BT
50,717,30,2,0,51,LU,137,47,34,BT
51,717,31,1,48,59,LU,138,35,1,BT
52,717,32,1,43,22,LU,139,12,33,BT
53,717,33,1,42,40,LU,139,16,55,BT
54,717,34,1,41,35,LU,139,22,41,BT
55,717,35,1,39,17,LU,139,32,42,BT
56,717,36,1,36,1,LU,139,44,0,BT
57,717,37,1,32,38,LU,139,53,43,BT
58,717,38,1,28,45,LU,140,3,14,BT
59,717,39,1,23,3,LU,140,15,9,BT
60,717,40,1,5,37,LU,140,48,43,BT
61,717,41,1,1,35,LU,140,48,48,BT
62,717,42,0,44,10,LU,140,49,10,BT
63,717,43,1,4,35,LS,141,24,0,BT
64,717,44,2,8,30,LS,141,1,30,BT
65,717,45,2,36,16,LS,141,0,0,BT
